id,name,artists,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",['Chappell Roan'],pop,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,audio_features,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,['Billie Eilish'],pop,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,audio_features,spotify:track:6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,https://api.spotify.com/v1/audio-analysis/6dOtVTDdiauQNBQEDOtlAB,210373,4
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,['Sabrina Carpenter'],pop,0.669,0.586,9,-6.073,1,0.054,0.274,0.0,0.104,0.579,107.071,audio_features,spotify:track:5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,186365,4
2qSkIjg1o9h3YT9RAgYN75,Espresso,['Sabrina Carpenter'],pop,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54e-05,0.185,0.69,103.969,audio_features,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,175459,4
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"['Post Malone', 'Morgan Wallen']",pop,0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,audio_features,spotify:track:7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,178206,4
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,['Chappell Roan'],pop,0.742,0.757,6,-4.981,1,0.0421,0.0187,0.0,0.305,0.957,139.982,audio_features,spotify:track:4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,184841,4
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,['Chappell Roan'],pop,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,audio_features,spotify:track:1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/tracks/1k2pQc5i348DCHwbn5KTdc,https://api.spotify.com/v1/audio-analysis/1k2pQc5i348DCHwbn5KTdc,258035,4
7FOgcfdz9Nx5V9lCNXdBYv,Red Wine Supernova,['Chappell Roan'],pop,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,audio_features,spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,https://api.spotify.com/v1/tracks/7FOgcfdz9Nx5V9lCNXdBYv,https://api.spotify.com/v1/audio-analysis/7FOgcfdz9Nx5V9lCNXdBYv,192721,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"['Lady Gaga', 'Bruno Mars']",pop,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,audio_features,spotify:track:2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,https://api.spotify.com/v1/audio-analysis/2plbrEY59IikOBgBGLjaoe,251668,3
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),['Shaboozey'],pop,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,audio_features,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,171292,4
3WOhcATHxK2SLNeP5W3v1v,Guess featuring Billie Eilish,"['Charli xcx', 'Billie Eilish']",pop,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,audio_features,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,145219,4
629DixmZGHc7ILtEntuiWE,LUNCH,['Billie Eilish'],pop,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,audio_features,spotify:track:629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/tracks/629DixmZGHc7ILtEntuiWE,https://api.spotify.com/v1/audio-analysis/629DixmZGHc7ILtEntuiWE,179587,4
5G2f63n7IPVPPjfNIGih7Q,Taste,['Sabrina Carpenter'],pop,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,audio_features,spotify:track:5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/tracks/5G2f63n7IPVPPjfNIGih7Q,https://api.spotify.com/v1/audio-analysis/5G2f63n7IPVPPjfNIGih7Q,157280,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,['Jimin'],pop,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,audio_features,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU,170888,4
19RybK6XDbAVpcdxSbZL1o,Apple,['Charli xcx'],pop,0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,audio_features,spotify:track:19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/tracks/19RybK6XDbAVpcdxSbZL1o,https://api.spotify.com/v1/audio-analysis/19RybK6XDbAVpcdxSbZL1o,151740,4
3WSOUb3U7tqURbBSgZTrZX,Casual,['Chappell Roan'],pop,0.508,0.411,1,-6.95,1,0.0269,0.226,0.0,0.0571,0.34,131.008,audio_features,spotify:track:3WSOUb3U7tqURbBSgZTrZX,https://api.spotify.com/v1/tracks/3WSOUb3U7tqURbBSgZTrZX,https://api.spotify.com/v1/audio-analysis/3WSOUb3U7tqURbBSgZTrZX,232796,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),['Shaboozey'],pop,0.722,0.706,9,-4.857,1,0.0292,0.072,0.0,0.067,0.599,80.969,audio_features,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K,171292,4
4w2GLmK2wnioVnb5CPQeex,360,['Charli xcx'],pop,0.857,0.62,0,-8.13,1,0.0472,0.646,0.244,0.0934,0.796,120.042,audio_features,spotify:track:4w2GLmK2wnioVnb5CPQeex,https://api.spotify.com/v1/tracks/4w2GLmK2wnioVnb5CPQeex,https://api.spotify.com/v1/audio-analysis/4w2GLmK2wnioVnb5CPQeex,133805,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,['Billie Eilish'],pop,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,audio_features,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,https://api.spotify.com/v1/audio-analysis/3QaPy1KgI7nu9FJEQUgn6h,261467,4
51eSHglvG1RJXtL3qI5trr,Slow It Down,['Benson Boone'],pop,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,spotify:track:51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr,161831,4
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,['Myles Smith'],pop,0.635,0.601,1,-6.129,0,0.0295,0.246,0.0,0.11,0.332,123.994,audio_features,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,172533,4
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,['Taylor Swift'],pop,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,['The Neighbourhood'],pop,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,['The Neighbourhood'],pop,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,['Djo'],pop,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4
53IRnAWx13PYmoVYtemUBS,Femininomenon,['Chappell Roan'],pop,0.609,0.758,0,-4.885,0,0.0525,0.139,5.38e-06,0.11,0.236,124.949,audio_features,spotify:track:53IRnAWx13PYmoVYtemUBS,https://api.spotify.com/v1/tracks/53IRnAWx13PYmoVYtemUBS,https://api.spotify.com/v1/audio-analysis/53IRnAWx13PYmoVYtemUBS,219711,4
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,['Hozier'],pop,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,https://api.spotify.com/v1/tracks/0AjmK0Eai4zGrLaJwPvrDp,https://api.spotify.com/v1/audio-analysis/0AjmK0Eai4zGrLaJwPvrDp,251424,4
0AjmK0Eai4zGrLaJwPvrDp,Too Sweet,['Hozier'],pop,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,https://api.spotify.com/v1/tracks/0AjmK0Eai4zGrLaJwPvrDp,https://api.spotify.com/v1/audio-analysis/0AjmK0Eai4zGrLaJwPvrDp,251424,4
102YUQbYmwdBXS7jwamI90,Good Graces,['Sabrina Carpenter'],pop,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96e-06,0.144,0.732,126.012,audio_features,spotify:track:102YUQbYmwdBXS7jwamI90,https://api.spotify.com/v1/tracks/102YUQbYmwdBXS7jwamI90,https://api.spotify.com/v1/audio-analysis/102YUQbYmwdBXS7jwamI90,185265,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,['Benson Boone'],pop,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,audio_features,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/tracks/3xkHsmpQCBMytMJNiDf3Ii,https://api.spotify.com/v1/audio-analysis/3xkHsmpQCBMytMJNiDf3Ii,180304,3
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,['Billie Eilish'],pop,0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,audio_features,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,https://api.spotify.com/v1/tracks/7BRD7x5pt8Lqa1eGYC4dzj,https://api.spotify.com/v1/audio-analysis/7BRD7x5pt8Lqa1eGYC4dzj,303440,4
1bjeWoagtHmUKputLVyDxQ,Saturn,['SZA'],pop,0.411,0.619,1,-6.834,1,0.0368,0.62,0.0,0.11,0.337,177.937,audio_features,spotify:track:1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,186192,4
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,['Sabrina Carpenter'],pop,0.739,0.727,11,-5.968,0,0.0426,0.0678,0.0,0.104,0.676,94.99,audio_features,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,https://api.spotify.com/v1/tracks/1UHS8Rf6h5Ar3CDWRd3wjF,https://api.spotify.com/v1/audio-analysis/1UHS8Rf6h5Ar3CDWRd3wjF,171870,4
32fSZSbxeVoiZShMQKLc6Z,My Kink Is Karma,['Chappell Roan'],pop,0.555,0.599,2,-5.695,1,0.052,0.00925,0.0,0.102,0.415,86.727,audio_features,spotify:track:32fSZSbxeVoiZShMQKLc6Z,https://api.spotify.com/v1/tracks/32fSZSbxeVoiZShMQKLc6Z,https://api.spotify.com/v1/audio-analysis/32fSZSbxeVoiZShMQKLc6Z,222578,4
7iQMm50NNwlUIRWhONZR2k,Wind Up Missin’ You,['Tucker Wetmore'],pop,0.572,0.722,6,-5.818,1,0.0363,0.512,1.12e-06,0.124,0.636,171.857,audio_features,spotify:track:7iQMm50NNwlUIRWhONZR2k,https://api.spotify.com/v1/tracks/7iQMm50NNwlUIRWhONZR2k,https://api.spotify.com/v1/audio-analysis/7iQMm50NNwlUIRWhONZR2k,166040,4
2Zo1PcszsT9WQ0ANntJbID,Feather,['Sabrina Carpenter'],pop,0.791,0.694,6,-4.332,0,0.0335,0.0736,1.75e-06,0.0958,0.826,123.508,audio_features,spotify:track:2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/tracks/2Zo1PcszsT9WQ0ANntJbID,https://api.spotify.com/v1/audio-analysis/2Zo1PcszsT9WQ0ANntJbID,185553,4
3iPIDAFybaoyqX7hvAfWkl,Sharpest Tool,['Sabrina Carpenter'],pop,0.716,0.63,4,-7.509,1,0.108,0.475,0.0,0.0943,0.588,91.003,audio_features,spotify:track:3iPIDAFybaoyqX7hvAfWkl,https://api.spotify.com/v1/tracks/3iPIDAFybaoyqX7hvAfWkl,https://api.spotify.com/v1/audio-analysis/3iPIDAFybaoyqX7hvAfWkl,218284,4
6dgUya35uo964z7GZXM07g,Nonsense,['Sabrina Carpenter'],pop,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,audio_features,spotify:track:6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/tracks/6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/audio-analysis/6dgUya35uo964z7GZXM07g,163648,4
21B4gaTWnTkuSh77iWEXdS,Juno,['Sabrina Carpenter'],pop,0.633,0.725,5,-4.257,1,0.0427,0.0461,0.0,0.205,0.64,130.504,audio_features,spotify:track:21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/tracks/21B4gaTWnTkuSh77iWEXdS,https://api.spotify.com/v1/audio-analysis/21B4gaTWnTkuSh77iWEXdS,223192,4
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),"['Taylor Swift', 'Post Malone']",pop,0.504,0.386,11,-10.976,1,0.0308,0.502,1.53e-05,0.0961,0.281,192.004,audio_features,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,https://api.spotify.com/v1/audio-analysis/2OzhQlSqBEmt7hmkYxfT6m,228965,4
5oIVNm56t6OIf9ZjdEG3ud,Coincidence,['Sabrina Carpenter'],pop,0.418,0.815,9,-6.216,1,0.125,0.362,0.0,0.125,0.758,77.862,audio_features,spotify:track:5oIVNm56t6OIf9ZjdEG3ud,https://api.spotify.com/v1/tracks/5oIVNm56t6OIf9ZjdEG3ud,https://api.spotify.com/v1/audio-analysis/5oIVNm56t6OIf9ZjdEG3ud,164203,4
3FU6urUVsgXa6RBuV2PdRk,Heartless (feat. Morgan Wallen),"['Diplo', 'Morgan Wallen']",pop,0.765,0.556,11,-6.417,1,0.0512,0.275,0.0,0.0824,0.274,111.033,audio_features,spotify:track:3FU6urUVsgXa6RBuV2PdRk,https://api.spotify.com/v1/tracks/3FU6urUVsgXa6RBuV2PdRk,https://api.spotify.com/v1/audio-analysis/3FU6urUVsgXa6RBuV2PdRk,169227,4
4IadxL6BUymXlh8RCJJu7T,Too Sweet,['Hozier'],pop,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,251424,4
4IadxL6BUymXlh8RCJJu7T,Too Sweet,['Hozier'],pop,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,audio_features,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,251424,4
0XkZmBCCcdMY0EPY8ij6Gb,Slim Pickins,['Sabrina Carpenter'],pop,0.619,0.542,2,-8.681,1,0.0529,0.288,0.0,0.151,0.308,99.824,audio_features,spotify:track:0XkZmBCCcdMY0EPY8ij6Gb,https://api.spotify.com/v1/tracks/0XkZmBCCcdMY0EPY8ij6Gb,https://api.spotify.com/v1/audio-analysis/0XkZmBCCcdMY0EPY8ij6Gb,152195,4
6WTFHKrnZpwEBLRS10Ylqs,misses,['Dominic Fike'],pop,0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,audio_features,spotify:track:6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/tracks/6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/audio-analysis/6WTFHKrnZpwEBLRS10Ylqs,74379,4
6WTFHKrnZpwEBLRS10Ylqs,misses,['Dominic Fike'],pop,0.578,0.509,2,-6.229,1,0.0279,0.13,0.734,0.344,0.586,119.945,audio_features,spotify:track:6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/tracks/6WTFHKrnZpwEBLRS10Ylqs,https://api.spotify.com/v1/audio-analysis/6WTFHKrnZpwEBLRS10Ylqs,74379,4
3hxIUxnT27p5WcmjGUXNwx,Shut up My Moms Calling,['Hotel Ugly'],pop,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4
4pkb8SbRGeHAvdb87v9rpf,Miles On It,"['Marshmello', 'Kane Brown']",pop,0.634,0.761,5,-4.752,1,0.0472,0.00537,0.0,0.549,0.785,129.963,audio_features,spotify:track:4pkb8SbRGeHAvdb87v9rpf,https://api.spotify.com/v1/tracks/4pkb8SbRGeHAvdb87v9rpf,https://api.spotify.com/v1/audio-analysis/4pkb8SbRGeHAvdb87v9rpf,168454,4
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,['*NSYNC'],pop,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
0UYnhUfnUj5adChuAXvLUB,Sailor Song,['Gigi Perez'],pop,0.492,0.416,11,-10.439,1,0.0254,0.686,8.61e-05,0.203,0.297,94.926,audio_features,spotify:track:0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,https://api.spotify.com/v1/audio-analysis/0UYnhUfnUj5adChuAXvLUB,211979,4
5crxqqibcvoOQQgg4HjAFQ,Guy For That (Feat. Luke Combs),"['Post Malone', 'Luke Combs']",pop,0.608,0.914,8,-4.116,1,0.0721,0.00545,0.0,0.137,0.511,120.01,audio_features,spotify:track:5crxqqibcvoOQQgg4HjAFQ,https://api.spotify.com/v1/tracks/5crxqqibcvoOQQgg4HjAFQ,https://api.spotify.com/v1/audio-analysis/5crxqqibcvoOQQgg4HjAFQ,164011,4
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,['Sabrina Carpenter'],pop,0.675,0.586,9,-6.086,1,0.0531,0.257,0.0,0.104,0.621,107.015,audio_features,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,https://api.spotify.com/v1/tracks/2tHwzyyOLoWSFqYNjeVMzj,https://api.spotify.com/v1/audio-analysis/2tHwzyyOLoWSFqYNjeVMzj,186365,4
09LrGvT9KsACH66RHYMDyR,Don’t Smile,['Sabrina Carpenter'],pop,0.628,0.453,1,-10.141,1,0.0271,0.448,0.000538,0.165,0.328,89.969,audio_features,spotify:track:09LrGvT9KsACH66RHYMDyR,https://api.spotify.com/v1/tracks/09LrGvT9KsACH66RHYMDyR,https://api.spotify.com/v1/audio-analysis/09LrGvT9KsACH66RHYMDyR,206296,4
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,['SZA'],pop,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,['Taylor Swift'],pop,0.701,0.751,0,-8.39,1,0.0502,0.123,0.0,0.15,0.22,129.994,audio_features,spotify:track:4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,https://api.spotify.com/v1/audio-analysis/4q5YezDOIPcoLr8R81x9qy,218005,4
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin),"['Offset', 'Metro Boomin']",pop,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4
